epoch,train_acc,train_loss,val_acc,val_loss,note
1,0.492735,1.389154,0.136774,3.212288,
2,0.815628,0.540403,0.100645,10.358695,
3,0.910559,0.253763,0.132903,8.648471,
4,0.914433,0.245654,0.250323,7.962732,
5,0.961253,0.115723,0.740645,1.030144,
6,0.970294,0.088501,0.774194,0.803709,
7,0.969648,0.094179,0.655484,1.353376,
8,0.977075,0.074121,0.938065,0.196623,
9,0.984501,0.048267,0.371613,5.851324,
10,0.98773,0.044747,0.530323,2.868634,
11,0.979012,0.06454,0.828387,0.639652,
12,0.98999,0.032197,0.976774,0.071014,
13,0.989667,0.027214,0.976774,0.066539,
14,0.991282,0.023896,0.989677,0.023341,
15,0.994511,0.01747,0.95871,0.128446,
16,0.991928,0.025512,0.864516,0.444238,
17,0.997094,0.012036,0.994839,0.015457,
18,0.996125,0.013206,0.985806,0.040051,
19,0.992896,0.016131,0.987097,0.052183,
20,0.991605,0.032866,0.367742,8.563329,
