epoch,train_acc,train_loss,val_acc,val_loss,note
1,0.148515,3.354201,0.08778,2.858093,
2,0.257856,2.406868,0.129088,2.809208,
3,0.398622,1.8029,0.22031,2.471123,
4,0.330177,2.232969,0.084337,264.892792,
5,0.464486,1.565869,0.158348,6.196252,
6,0.596642,1.207703,0.449225,1.920553,
7,0.570814,1.33234,0.108434,52.549419,
8,0.584158,1.190479,0.084337,389.315735,
9,0.694361,0.929718,0.149742,6.646321,
10,0.781748,0.631516,0.58864,1.136262,
11,0.82006,0.495166,0.256454,3.20348,
12,0.792079,0.617872,0.736661,0.733782,
13,0.857081,0.432899,0.829604,0.483005,
14,0.871718,0.363832,0.826162,0.430408,
15,0.890228,0.374445,0.841652,0.420273,
16,0.860095,0.447633,0.703959,1.150272,
17,0.897546,0.286505,0.703959,0.919397,
18,0.910461,0.267175,0.672978,1.322159,
19,0.921653,0.245485,0.864028,0.641255,
20,0.951786,0.165804,0.922547,0.193805,
