epoch,train_acc,train_loss,val_acc,val_loss,note
1,0.42359,1.643035,0.084337,15.031297,
2,0.74774,0.697025,0.08778,13.404549,
3,0.858373,0.377743,0.173838,4.878769,
4,0.884201,0.313016,0.154905,12.246717,
5,0.916487,0.252662,0.375215,5.487677,
6,0.925527,0.208168,0.240964,6.62499,
7,0.96384,0.103707,0.535284,2.449911,
8,0.974602,0.077695,0.834768,0.566274,
9,0.979768,0.057387,0.879518,0.32403,
10,0.981489,0.05328,0.500861,2.692942,
11,0.980198,0.054124,0.29432,5.731576,
12,0.984072,0.048208,0.700516,1.0709,
13,0.983642,0.040577,0.977625,0.061135,
14,0.990529,0.02865,0.97074,0.086343,
15,0.99096,0.032484,0.884682,0.513976,
16,0.987086,0.036078,0.905336,0.320667,
17,0.995265,0.017785,0.991394,0.024032,
18,0.996987,0.012601,0.986231,0.039959,
19,0.994404,0.013314,0.996558,0.011811,
20,0.996987,0.013239,0.991394,0.020057,
