epoch,train_acc,train_loss,val_acc,val_loss,note
1,0.185986,2.857252,0.08129,7.368966,
2,0.395867,1.768982,0.165161,3.550059,
3,0.55473,1.337,0.196129,7.977582,
4,0.660962,0.975527,0.472258,3.104072,
5,0.762351,0.708793,0.108387,22.020018,
6,0.816274,0.544263,0.483871,3.945313,
7,0.828221,0.552696,0.402581,7.105655,
8,0.925412,0.237884,0.214194,7.812761,
9,0.932838,0.187577,0.830968,0.617689,
10,0.950274,0.148535,0.922581,0.220852,
11,0.939296,0.174398,0.885161,0.361628,
12,0.947368,0.152068,0.92,0.298062,
13,0.942202,0.17635,0.965161,0.092982,
14,0.962222,0.115118,0.796129,0.719547,
15,0.944139,0.180776,0.686452,1.397435,
16,0.954149,0.139702,0.898064,0.297528,
17,0.975137,0.07383,0.970323,0.092349,
18,0.981918,0.052274,0.971613,0.077254,
19,0.982241,0.053866,0.983226,0.05448,
20,0.97546,0.080118,0.925161,0.213246,
